Sibling Pair ID,Sister Name,Brother Name,Sister's Demand,Rakhi Type,Rakhi Tying Speed (sec),Brother's Gift,Sister's Emotion,Brother's Reaction,Celebration Location,Sweet Shared,Year
SB-1086,Sierra,Brian,Designer Handbag,Bracelet Rakhi,13.08,Custom T-shirt,Playful,Grateful,Office,Ladoo,2023
SB-1087,Destiny,Lawrence,Gold Ring,Kundan Rakhi,26.02,Cash,Sentimental,Shocked,College Hostel,Jalebi,2025
SB-1088,Margaret,Alexander,Books,Zardosi Rakhi,15.24,Sneakers,Playful,Nervous,Online Video Call,Jalebi,2024
SB-1089,Renee,Michael,Makeup Kit,Lumba Rakhi,39.62,Bluetooth Speaker,Sentimental,Happy,Office,Jalebi,2023
SB-1090,Samantha,Arthur,Makeup Kit,Eco-friendly Rakhi,31.64,Cash,Playful,Grateful,Mall,Kaju Katli,2024
SB-1091,Michele,Christopher,Fitness Tracker,Cartoon Rakhi,53.51,Backpack,Excited,Surprised,College Hostel,Gulab Jamun,2024
SB-1092,Michelle,Mark,Shopping Voucher,Cartoon Rakhi,57.97,Bluetooth Speaker,Happy,Grateful,Mall,Rasgulla,2024
SB-1093,Amber,Eric,Makeup Kit,Silver Rakhi,16.46,Custom T-shirt,Sentimental,Grateful,Mall,Rasgulla,2024
SB-1094,Amy,Samuel,Trip to Goa,Silver Rakhi,19.02,Sweets Box,Excited,Nervous,Office,Kaju Katli,2022
SB-1095,Tiffany,Eric,Perfume,Bracelet Rakhi,5.94,Bluetooth Speaker,Angry,Happy,College Hostel,Peda,2024
SB-1096,Cynthia,Michael,Shopping Voucher,Traditional Rakhi,39,Bluetooth Speaker,Sentimental,Nervous,College Hostel,Gulab Jamun,2025
SB-1097,Katelyn,Kevin,Perfume,Cartoon Rakhi,19.49,Bluetooth Speaker,Angry,Shocked,Office,Rasgulla,2024
SB-1098,Katie,Robert,Books,Bracelet Rakhi,56.75,Bluetooth Speaker,Playful,Grateful,Home,Peda,2024
SB-1099,Kaitlyn,Keith,Books,Cartoon Rakhi,34.78,Teddy Bear,Playful,Excited,Online Video Call,Gulab Jamun,2023
SB-1100,Carol,Joshua,Shopping Voucher,Eco-friendly Rakhi,28.28,Sneakers,Playful,Surprised,Office,Gulab Jamun,2024
SB-1101,Sarah,Dakota,Fitness Tracker,Silver Rakhi,14.15,Backpack,Sentimental,Happy,College Hostel,Kaju Katli,2022
SB-1102,Melissa,Christopher,Designer Handbag,Cartoon Rakhi,5.03,Teddy Bear,Happy,Nervous,Office,Ladoo,2023
SB-1103,Dana,Andrew,Trip to Goa,Zardosi Rakhi,58.63,Custom T-shirt,Sentimental,Nervous,Online Video Call,Gulab Jamun,2022
SB-1104,Jennifer,Dylan,Gold Ring,Lumba Rakhi,11.04,Backpack,Joyful,Nervous,Office,Barfi,2024
SB-1105,Tonya,Richard,Shopping Voucher,Traditional Rakhi,38.62,Teddy Bear,Playful,Happy,Office,Jalebi,2022
SB-1106,Stephanie,Jeffrey,Fitness Tracker,Cartoon Rakhi,28.32,Sneakers,Sentimental,Excited,Mall,Kaju Katli,2024
SB-1107,Krista,Eric,Makeup Kit,Eco-friendly Rakhi,43.93,Cash,Playful,Shocked,Online Video Call,Gulab Jamun,2023
SB-1108,Sarah,Christopher,Smartphone,Zardosi Rakhi,22.04,Cash,Excited,Happy,Online Video Call,Kaju Katli,2023
SB-1109,Anne,Christopher,Perfume,Eco-friendly Rakhi,42.16,Teddy Bear,Joyful,Nervous,Online Video Call,Gulab Jamun,2024
SB-1110,Lynn,Eric,Books,Traditional Rakhi,26.95,Bluetooth Speaker,Happy,Happy,Mall,Peda,2025
SB-1111,Tanya,Kevin,Fitness Tracker,Silver Rakhi,37.2,Wrist Watch,Excited,Grateful,Office,Gulab Jamun,2025
SB-1112,Julie,Travis,Smartphone,Kundan Rakhi,15.16,Chocolate Hamper,Excited,Shocked,College Hostel,Rasgulla,2024
SB-1113,Samantha,Charles,Headphones,Lumba Rakhi,53.11,Sweets Box,Angry,Grateful,Home,Kaju Katli,2025
SB-1114,Kathryn,Daniel,Gold Ring,Traditional Rakhi,20.95,Chocolate Hamper,Excited,Nervous,Mall,Peda,2025
SB-1115,Erin,Nicholas,Trip to Goa,Eco-friendly Rakhi,48.12,Gift Card,Sentimental,Surprised,Home,Peda,2023
SB-1116,Jamie,Mark,Books,Zardosi Rakhi,44.85,Sneakers,Joyful,Surprised,Home,Barfi,2023
SB-1117,Tiffany,Tyler,Makeup Kit,Silver Rakhi,47.94,Gift Card,Happy,Excited,Online Video Call,Peda,2022
SB-1118,Morgan,Stephen,Makeup Kit,Kundan Rakhi,9.53,Teddy Bear,Joyful,Shocked,Cafe,Jalebi,2025
SB-1119,Nicole,Joseph,Books,Bracelet Rakhi,41.11,Teddy Bear,Joyful,Surprised,Online Video Call,Gulab Jamun,2025
SB-1120,Sierra,Joseph,Trip to Goa,Bracelet Rakhi,52.82,Gift Card,Angry,Shocked,Office,Jalebi,2023
SB-1121,Laura,Daniel,Books,Zardosi Rakhi,54.14,Teddy Bear,Sentimental,Grateful,Cafe,Jalebi,2023
SB-1122,Rhonda,Alvin,Trip to Goa,Bracelet Rakhi,23.63,Teddy Bear,Joyful,Happy,College Hostel,Barfi,2025
SB-1123,Tara,Robert,Books,Kundan Rakhi,35.77,Cash,Happy,Surprised,Office,Peda,2022
SB-1124,Jessica,Curtis,Smartphone,Kundan Rakhi,58.3,Custom T-shirt,Playful,Happy,Home,Gulab Jamun,2024
SB-1125,Shannon,Joshua,Gold Ring,Kundan Rakhi,39.21,Chocolate Hamper,Excited,Shocked,Online Video Call,Jalebi,2022
SB-1126,Cynthia,Shane,Makeup Kit,Zardosi Rakhi,49.25,Wrist Watch,Angry,Shocked,Office,Barfi,2024
SB-1127,Angela,Patrick,Makeup Kit,Traditional Rakhi,33.09,Backpack,Playful,Happy,Online Video Call,Rasgulla,2025
SB-1128,Caitlin,Robert,Designer Handbag,Zardosi Rakhi,34.21,Sneakers,Playful,Happy,Office,Rasgulla,2023
SB-1129,Crystal,Johnny,Headphones,Eco-friendly Rakhi,54.01,Sweets Box,Sentimental,Nervous,Online Video Call,Gulab Jamun,2025
SB-1130,Sarah,Eric,Smartphone,Traditional Rakhi,23.55,Bluetooth Speaker,Happy,Nervous,College Hostel,Ladoo,2023
SB-1131,Sarah,Ryan,Books,Bracelet Rakhi,21.5,Chocolate Hamper,Happy,Grateful,Online Video Call,Barfi,2023
SB-1132,Bianca,Jason,Makeup Kit,Eco-friendly Rakhi,17.35,Chocolate Hamper,Playful,Excited,Home,Gulab Jamun,2022
SB-1133,Jennifer,Daniel,Designer Handbag,Traditional Rakhi,16.01,Sneakers,Playful,Surprised,Mall,Ladoo,2022
SB-1134,Denise,Jaime,Designer Handbag,Bracelet Rakhi,9.36,Sneakers,Playful,Excited,Cafe,Rasgulla,2024
SB-1135,Elizabeth,Joseph,Designer Handbag,Silver Rakhi,49.68,Bluetooth Speaker,Joyful,Nervous,Home,Kaju Katli,2024
SB-1136,Lisa,Travis,Fitness Tracker,Silver Rakhi,52.03,Custom T-shirt,Angry,Shocked,College Hostel,Peda,2024
SB-1137,Emily,Antonio,Books,Bracelet Rakhi,31.44,Sneakers,Playful,Shocked,Mall,Peda,2023
SB-1138,Susan,Dylan,Trip to Goa,Traditional Rakhi,35.23,Gift Card,Playful,Nervous,Mall,Gulab Jamun,2022
SB-1139,Karen,Gregory,Perfume,Silver Rakhi,16.46,Sneakers,Angry,Nervous,College Hostel,Rasgulla,2025
SB-1140,Vanessa,Jesus,Shopping Voucher,Eco-friendly Rakhi,37.73,Bluetooth Speaker,Playful,Excited,Office,Gulab Jamun,2025
SB-1141,Cheryl,Edward,Fitness Tracker,Lumba Rakhi,58.48,Chocolate Hamper,Playful,Nervous,Online Video Call,Peda,2024
SB-1142,Savannah,Dakota,Trip to Goa,Lumba Rakhi,56.01,Sweets Box,Angry,Shocked,Home,Gulab Jamun,2022
SB-1143,Melissa,Gregg,Gold Ring,Cartoon Rakhi,15.1,Backpack,Playful,Nervous,Online Video Call,Rasgulla,2023
SB-1144,Amy,Robert,Books,Traditional Rakhi,16.94,Sweets Box,Excited,Shocked,College Hostel,Gulab Jamun,2023
SB-1145,Shawna,Gerald,Fitness Tracker,Eco-friendly Rakhi,7.73,Teddy Bear,Angry,Grateful,Home,Peda,2022
SB-1146,Andrea,William,Trip to Goa,Bracelet Rakhi,45.11,Chocolate Hamper,Sentimental,Surprised,Office,Barfi,2024
SB-1147,Tiffany,Robert,Smartphone,Kundan Rakhi,29.05,Cash,Sentimental,Surprised,Online Video Call,Rasgulla,2023
SB-1148,Kimberly,Adam,Makeup Kit,Bracelet Rakhi,55.36,Teddy Bear,Joyful,Shocked,College Hostel,Kaju Katli,2023
SB-1149,Teresa,Charles,Trip to Goa,Zardosi Rakhi,46.25,Gift Card,Happy,Nervous,Online Video Call,Jalebi,2022
SB-1150,Roberta,Paul,Perfume,Cartoon Rakhi,7.37,Sneakers,Playful,Excited,Cafe,Peda,2022
SB-1151,Kim,Joseph,Designer Handbag,Cartoon Rakhi,45.44,Sweets Box,Happy,Nervous,Office,Ladoo,2023
SB-1152,Cassandra,Tyler,Perfume,Silver Rakhi,32.06,Sneakers,Playful,Surprised,Online Video Call,Barfi,2022
SB-1153,Karina,Keith,Makeup Kit,Bracelet Rakhi,45.4,Wrist Watch,Happy,Happy,Cafe,Peda,2024
SB-1154,Angela,Gregory,Makeup Kit,Cartoon Rakhi,9.12,Teddy Bear,Playful,Excited,Cafe,Barfi,2022
SB-1155,Megan,Brian,Shopping Voucher,Zardosi Rakhi,34.49,Cash,Excited,Shocked,College Hostel,Barfi,2022
SB-1156,Tasha,Jesus,Designer Handbag,Eco-friendly Rakhi,47.42,Cash,Happy,Excited,College Hostel,Gulab Jamun,2025
SB-1157,Michelle,Kevin,Designer Handbag,Cartoon Rakhi,20.82,Custom T-shirt,Happy,Surprised,College Hostel,Jalebi,2022
SB-1158,Katherine,Anthony,Books,Zardosi Rakhi,21.45,Sneakers,Sentimental,Grateful,College Hostel,Rasgulla,2024
SB-1159,Brianna,David,Makeup Kit,Cartoon Rakhi,11.27,Wrist Watch,Happy,Happy,Cafe,Jalebi,2022
SB-1160,Ashley,Joseph,Fitness Tracker,Bracelet Rakhi,5.79,Sweets Box,Happy,Grateful,Online Video Call,Gulab Jamun,2023
SB-1161,Carrie,Eric,Shopping Voucher,Kundan Rakhi,43.69,Sneakers,Sentimental,Happy,Cafe,Ladoo,2024
SB-1162,Ashley,Miguel,Smartphone,Zardosi Rakhi,21.34,Bluetooth Speaker,Excited,Excited,Home,Barfi,2023
SB-1163,Diana,Ryan,Shopping Voucher,Kundan Rakhi,10.64,Backpack,Sentimental,Excited,Online Video Call,Rasgulla,2025
SB-1164,Alyssa,Gregory,Gold Ring,Eco-friendly Rakhi,27.19,Teddy Bear,Happy,Shocked,Office,Kaju Katli,2024
SB-1165,Ashley,Kenneth,Trip to Goa,Lumba Rakhi,34.67,Cash,Playful,Shocked,Home,Jalebi,2022
SB-1166,Melissa,Tony,Makeup Kit,Kundan Rakhi,18.71,Chocolate Hamper,Excited,Grateful,Mall,Rasgulla,2022
SB-1167,Rhonda,Anthony,Headphones,Silver Rakhi,46.42,Cash,Playful,Nervous,Online Video Call,Rasgulla,2023
SB-1168,Robin,Charles,Books,Silver Rakhi,24.51,Custom T-shirt,Playful,Surprised,Office,Barfi,2023
SB-1169,Linda,Jesse,Smartphone,Bracelet Rakhi,53.61,Wrist Watch,Sentimental,Excited,Online Video Call,Jalebi,2023
SB-1170,Pamela,Joe,Fitness Tracker,Eco-friendly Rakhi,37.84,Wrist Watch,Sentimental,Excited,Office,Rasgulla,2022
SB-1171,Lisa,James,Trip to Goa,Kundan Rakhi,15.12,Cash,Sentimental,Excited,College Hostel,Jalebi,2025
SB-1172,Jessica,Anthony,Headphones,Kundan Rakhi,41.22,Gift Card,Happy,Nervous,Cafe,Peda,2022
SB-1173,Jennifer,Alex,Shopping Voucher,Lumba Rakhi,17.88,Cash,Happy,Shocked,Home,Peda,2023
SB-1174,Lacey,Benjamin,Shopping Voucher,Lumba Rakhi,26.27,Chocolate Hamper,Angry,Nervous,College Hostel,Kaju Katli,2022
SB-1175,Alice,Jack,Perfume,Traditional Rakhi,52.67,Sneakers,Happy,Surprised,Home,Rasgulla,2024
SB-1176,Elizabeth,Dean,Perfume,Lumba Rakhi,19.59,Cash,Joyful,Nervous,Mall,Jalebi,2023
SB-1177,Allison,Keith,Smartphone,Bracelet Rakhi,31.43,Sneakers,Joyful,Grateful,Office,Gulab Jamun,2025
SB-1178,Cynthia,Russell,Fitness Tracker,Eco-friendly Rakhi,9.93,Sweets Box,Joyful,Grateful,Online Video Call,Kaju Katli,2025
SB-1179,Rachel,Jeffrey,Trip to Goa,Silver Rakhi,29.1,Chocolate Hamper,Playful,Nervous,Mall,Gulab Jamun,2024
SB-1180,Caitlin,Christopher,Fitness Tracker,Bracelet Rakhi,19.3,Backpack,Excited,Nervous,Mall,Gulab Jamun,2025
SB-1181,Madeline,David,Makeup Kit,Eco-friendly Rakhi,49.27,Cash,Excited,Shocked,Cafe,Rasgulla,2023
SB-1182,Jillian,Ryan,Designer Handbag,Traditional Rakhi,8.42,Wrist Watch,Angry,Surprised,Cafe,Rasgulla,2022
SB-1183,Jackie,Nathaniel,Shopping Voucher,Bracelet Rakhi,6.9,Backpack,Joyful,Happy,Home,Kaju Katli,2023
SB-1184,Michelle,Michael,Fitness Tracker,Cartoon Rakhi,31.35,Backpack,Happy,Nervous,Office,Kaju Katli,2024
SB-1185,Valerie,Luis,Shopping Voucher,Zardosi Rakhi,11.2,Bluetooth Speaker,Angry,Grateful,Home,Ladoo,2023
SB-1186,Theresa,Samuel,Trip to Goa,Cartoon Rakhi,19.98,Sneakers,Playful,Excited,College Hostel,Barfi,2022
SB-1187,Meghan,Kenneth,Books,Eco-friendly Rakhi,9.88,Sweets Box,Excited,Happy,Cafe,Rasgulla,2024
SB-1188,Andrea,Kyle,Books,Kundan Rakhi,46.76,Bluetooth Speaker,Sentimental,Grateful,Office,Gulab Jamun,2025
SB-1189,Cynthia,Jonathan,Perfume,Traditional Rakhi,58.37,Sweets Box,Angry,Surprised,Online Video Call,Ladoo,2024
SB-1190,Teresa,Matthew,Books,Lumba Rakhi,39.36,Sweets Box,Excited,Shocked,Online Video Call,Jalebi,2025
SB-1191,Kimberly,Ray,Designer Handbag,Kundan Rakhi,54.82,Sweets Box,Sentimental,Nervous,College Hostel,Kaju Katli,2024
SB-1192,Sara,William,Books,Lumba Rakhi,25.92,Chocolate Hamper,Angry,Nervous,Home,Gulab Jamun,2022
SB-1193,Katherine,Jared,Makeup Kit,Cartoon Rakhi,5.06,Teddy Bear,Playful,Nervous,Cafe,Ladoo,2023
SB-1194,Joy,Nicholas,Makeup Kit,Eco-friendly Rakhi,40.39,Teddy Bear,Happy,Excited,Office,Peda,2022
SB-1195,Jennifer,William,Headphones,Lumba Rakhi,56.74,Teddy Bear,Sentimental,Shocked,Mall,Kaju Katli,2022
SB-1196,Jacqueline,Robert,Designer Handbag,Kundan Rakhi,55.37,Sneakers,Angry,Surprised,Office,Peda,2025
SB-1197,Haley,Jason,Gold Ring,Lumba Rakhi,12.97,Chocolate Hamper,Angry,Surprised,Home,Peda,2024
SB-1198,Jillian,Dennis,Trip to Goa,Cartoon Rakhi,31.92,Sneakers,Excited,Shocked,Home,Ladoo,2022
SB-1199,Gina,Gabriel,Fitness Tracker,Silver Rakhi,37.08,Sweets Box,Angry,Nervous,Cafe,Barfi,2025
SB-1200,Ashley,Geoffrey,Smartphone,Lumba Rakhi,51.47,Sweets Box,Angry,Nervous,Online Video Call,Gulab Jamun,2025
SB-1201,Rachel,Jason,Headphones,Eco-friendly Rakhi,56.67,Backpack,Playful,Grateful,College Hostel,Jalebi,2025
SB-1202,Erin,Anthony,Trip to Goa,Zardosi Rakhi,29.78,Teddy Bear,Happy,Happy,Mall,Jalebi,2024
SB-1203,Jessica,Antonio,Headphones,Cartoon Rakhi,18.86,Chocolate Hamper,Angry,Shocked,Cafe,Rasgulla,2025
